region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
VN,7,en,479,383,6x2080ti,190,3,57630233694,1
VN,7,en,719,130,NULL,60,4,2.19067E+11,1
TR,3,en,310,86,1x3090,316,1,1.1331E+11,1
TD,1,fr,74,55,cpuhub1,231,5,2.87371E+11,1
SI,1,en,1,42,16,13,6,1.60055E+11,1
TW,8,zh,0,957,cpuhub1,9,1,4888461312,0
ES,2,es,0,2527,1x3090,112,1,70375178240,0
IN,5,en,31,852,1x3090,10,1,60145270784,0
HK,8,zh,3,53,6x2080ti,44,2,10814657846,1
US,-5,en,1,34,23,29,1,92354379776,1
VN,7,en,80,6375,golden,46,2,37384005094,1
PK,-4,en,414,6467,sliver,166,4,60392308030,1
DK,2,en,1,919,1x3090,1079,1,64077430784,1
KR,9,ko,168,4192,1x3090,37,4,2.7206E+11,1
ES,2,es,267,163,1x3090,10,1,19786480551,1
VN,7,vi,10,104,1x3090,80,1,40879679169,1
ES,1,es,1,5599,cpuhub1,40,1,11602493440,0
NG,1,en,318,19603,cpuhub1,69,2,25658471747,1
PY,-4,es,0,24,cpuhub1,7,1,4275044352,0
IN,5,en,5,1081,1x3090,11,1,16809837462,0
VN,7,vi,113,5317,1x2080Ti,150,1,67229389316,1
CZ,1,uk,108,1114,1x2080Ti,146,1,8795455488,0
BY,3,ru,117,100,16,4,2,26273120256,0
RU,3,ru,7,580073,1x3090,4,4,1.55332E+11,1
ES,1,es,316,54,golden,3,2,28880076938,1
RU,3,ru,2,106,1x3090,18,2,52070187008,0
VN,7,en,0,1271,1x3090,95,1,13928235008,0
IT,1,it,1,1504,1x3090,13,1,12342788096,0
JP,9,en,372,1722,1x3090,97,1,41409314816,0
RU,7,ru,162,2280,1x3090,138,2,1.21764E+11,1
VN,7,en,239,191,1x3090,69,4,2.83186E+11,1
GB,0,en,1,65,1x2080Ti,2,1,8631454774,1
CL,-4,en,0,46,16,78,1,1.63831E+11,0
BR,-7,en,17,18,cpuhub1,264,2,85844410038,1
US,-4,en,2,33,6x3080,228,2,6055512301,1
US,-5,en,540,65913,1x2080Ti,5,6,1.79125E+11,1
CN,8,zh,0,66,1x3090,49,1,29082722318,1
VN,7,vi,29,624,cpuhub1,432,1,45735107141,1
CA,-5,fr,0,1566,1x3090,43,1,22784335631,1
MZ,2,en,1,338,16,39,2,1.08781E+11,0
US,-4,en,2,26,1x3090,48,1,18965909875,1
VN,7,vi,150,56,cpuhub1,5,2,1.30024E+11,1
ZA,2,en,412,2043,1x3090,26,3,63919971048,1
RU,5,ru,0,48,1x3090,16,4,1.30381E+11,0
US,-5,en,9,2911,22,11,2,51319522973,1
US,-7,en,10,61944,18,17,4,71509507812,1
VN,7,en,0,209941,16,30,1,23646437376,0
GB,1,en,5,13,22,6,2,80146857984,1
EC,-5,en,0,11,18,38,2,1.57457E+11,1
US,-4,en,4,4743,23,42,2,79961260032,1
ES,1,es,26,1756,1x3090,30,2,2.32687E+11,1
MA,1,fr,1,95,1x3090,111,2,54467231744,0
KR,9,ko,0,195,1x2080Ti,18,1,9435086848,0
PH,8,en,106,2418,1x3090,2,5,2.27871E+11,1
CZ,2,cs,194,42,1x3090,20,10,2.3834E+11,1
VN,7,en,21,132,6x3090,10080,1,40132671830,0
PL,2,pl,360,90,6x2080ti,43,9,2.37909E+11,1
ZA,2,en,2,1364,1x3090,10,1,54256467968,1
NL,2,nl,27,79,cpuhub1,190,6,80072821711,1
US,-6,en,4,76,1x3090,321,2,1.3094E+11,1
PL,1,en,0,253,1x2080Ti,11,1,10456399872,0
RU,5,ru,13,4419,1x3090,15,2,1.19984E+11,1
VN,7,vi,1,7436,1x3090,91,2,87265640448,0
VN,7,en,51,1627,16,224,34,5.47898E+12,1
AE,4,en,6,53,6x3090,130,7,8.14598E+11,1
VN,7,en,532,2302,cpuhub1,84,4,3.40359E+11,1
VN,7,en,540,57,sliver,282,1,33303822336,1
US,-4,en,4,3001,16,47,2,58156122112,1
VN,7,en,218,195,17,6,5,5.59819E+11,0
US,3,ru,5,129,NULL,1440,2,27917616759,1
BR,-3,pt,0,792,16,40,1,24114102272,0
GT,-6,en,142,402,1x3090,23,1,1.99512E+11,1
NL,1,en,29,65,1x3090,40,1,1.11664E+11,1
VN,7,en,38,339,1x2080Ti,37,7,8.03427E+11,0
IT,1,it,0,36,1x3090,79,1,47172288512,0
US,-7,en,1,24,6x3090,38,2,63543705600,1
VN,7,vi,304,29,sliver,35,2,98387909185,1
PH,8,en,0,2233,1x3090,21,1,42720034816,0
JO,3,en,1,358,1x3090,38,1,70298635179,1
SG,7,en,565,12641,1x2080Ti,180,24,7.49004E+11,0
BR,-3,pt,101,724,1x3090,64,1,37630246912,0
AU,11,zh,NULL,4758,1x2080Ti,5,1,8789164032,1
US,-6,en,0,56,1x3090,18,1,29484908544,0
BR,-3,pt,1,26,1x3090,4,1,10893656064,0
AL,1,en,1,33,1x3090,0,1,77130104832,1
VN,7,en,5,30,1x3090,53,1,54240459911,1
DE,1,de,2,66,1x3090,29,1,33278656512,1
JP,9,en,44,1377,6x2080ti,14,2,10485760,1
CZ,1,cs,499,1188,1x2080Ti,2,2,1.54745E+11,1
TR,3,en,136,171,1x3090,95,1,33610635170,1
DZ,1,fr,19,2633,1x3090,36,1,7548698624,0
MY,8,en,1,77,1x3090,16,1,68009420192,0
GB,0,en,0,10,1x2080Ti,4,1,4194304,0
VN,7,en,196,907,1x3090,8,4,1.45017E+11,1
VN,7,vi,101,983,1x3090,38,5,2.21416E+11,1
VN,7,vi,1,708971,1x3090,79,1,26936868864,0
US,-6,en,11,54,22,32,4,1.46677E+11,1
US,-8,en,2,17,1x3090,2648,1,1.49439E+11,1
VN,7,vi,341,44,NULL,56,1,12818221181,1
VN,7,en,311,28,cpuhub1,42,5,93695594428,1
PH,8,en,0,59,1x3090,1,1,52345962496,0
VN,7,en,502,28,sliver,1,5,1.67801E+11,1
GB,1,en,2,47,16,152,1,67768418304,1
DK,2,en,0,265,1x3090,53,2,50562334720,0
US,-4,en,1,95,6x3090,1440,2,19721834996,1
BR,-3,pt,1,15476,1x3090,120,1,50057969664,0
DE,1,de,0,14,22,21,1,33221330007,1
MX,-5,es,7,876,1x3090,53,1,33168083318,1
EE,3,en,0,39,1x3090,21,1,33078273774,1
BR,-3,pt,8,27,1x2080Ti,46,1,10927210496,0
BR,-3,pt,374,20988,golden,108,4,9151971328,1
MX,-5,en,0,101,1x3090,44,2,33691203531,1
US,-4,en,237,1216,18,4,6,2.39478E+11,1
VN,7,vi,0,660,1x3090,108,1,41554018304,0
US,-5,en,9,207,1x3090,2,6,1.57181E+11,1
RU,3,ru,360,853,1x3090,41,1,63546851328,1
TR,3,tr,0,49,1x2080Ti,37,1,4194304,0
IT,1,en,0,5669,22,18,1,49277829120,0
VN,7,en,567,26,1x2080Ti,33,1,97698971648,1
PL,2,en,2,16822,1x3090,79,2,49396318208,0
JP,9,en,39,225,1x3090,5,2,26249003008,0
KR,9,en,378,20,1x3090,45,2,1.15668E+11,1
VN,7,vi,488,1129,6x2080ti,16,2,51696893952,1
BR,-3,pt,66,144,1x2080Ti,180,2,72686534833,1
IN,5,en,89,682,1x3090,17,1,1.1469E+11,0
GB,0,en,3,192,1x3090,11,1,68278026240,1
GB,0,en,127,48,1x3090,102,1,2.09219E+11,1
DE,2,de,81,41,1x3090,384,3,1.12302E+11,1
SA,3,ar,241,180,cpuhub1,6,11,4.66866E+11,1
MY,8,en,74,42,16,7,4,1.46111E+11,1
KR,9,ko,84,293,6x3090,122,6,1.36461E+12,1
BR,-3,pt,143,92,1x3090,206,4,1.83526E+11,0
EC,-5,es,2,23,1x3090,715,1,51200915709,1
SA,3,en,0,111,1x2080Ti,180,1,10269753344,0
VN,7,vi,NULL,797,golden,8,2,1727004672,1
VN,7,vi,303,59,1x2080Ti,29,2,38638977024,0
VN,7,en,0,106,6x3090,7,1,59000225792,1
US,-8,en,43,79,1x3090,93,1,67711795200,0
IN,5,en,0,85,1x3090,105,1,98531540992,0
US,-5,en,1,988,23,191,1,60976791552,1
RU,3,ru,0,101,1x2080Ti,180,1,2476736512,0
VN,7,vi,1,73,1x3090,396,1,29053150714,1
IT,2,it,4,67,6x2080ti,57,1,19457377253,1
US,-4,en,24,609,1x3090,15,2,88964408839,1
FR,1,en,1,79,1x2080Ti,172,1,25460473856,0
MY,8,en,64,61,6x3080,60,2,36053125084,1
VN,7,en,1,656,1x3090,118,1,78344804571,1
GB,1,en,1,17146,1x3090,5,1,25510805504,0
BR,-3,pt,0,138,1x3090,79,1,29247930368,0
HK,8,en,0,79,16,69,2,79978037248,0
IN,5,en,3,62,16,872,2,2.88912E+11,1
FR,1,fr,7,1602,23,84,3,1.31418E+11,1
FR,2,fr,11,38,22,5,2,95437193216,1
GR,2,el,12,33,1x3090,22,1,24986517504,0
VN,7,vi,2,309,cpuhub1,15,1,8826912029,1
VN,7,vi,503,357,NULL,5,1,1.09325E+11,1
VN,7,vi,226,1988,sliver,178,2,25368192595,1
VN,-7,en,197,93449,1x2080Ti,149,2,46696235008,1
IL,2,en,13,84660,1x3090,122,1,1.03489E+11,1
AR,-3,es,12,1414,1x3090,22,1,37426823168,1
AE,4,en,0,2753,1x3090,22,4,18549309440,0
CA,-6,en,46,56504,1x3090,24,1,15463350272,0
AU,10,en,1,20077,16,19,1,33209450496,1
IT,1,it,0,128,1x2080Ti,180,1,66840428544,0
US,-5,en,311,76,6x3080,179,12,9.62144E+11,1
IT,2,it,322,1703,1x3090,30,2,1.33752E+11,1
MX,-6,es,226,1426,1x2080Ti,5,5,1.06632E+11,1
VN,7,vi,295,177,1x3090,5,1,11373737647,1
CA,-8,ar,1,110,22,40,1,50385125376,0
VN,7,en,0,195,cpuhub1,32,1,45403340800,0
LT,2,lt,7,94,1x3090,58,2,78082186826,1
RU,2,ru,57,4055,1x2080Ti,2,1,32014297271,1
CA,-4,en,3,158,1x3090,37,4,1.89423E+11,1
VN,7,en,54,44,16,366,1,53952380928,1
DE,2,de,433,148,golden,136,6,9.04629E+11,1
US,-7,en,2,19,1x3090,12,1,24455670931,1
ZA,2,en,31,43,cpuhub1,4,2,99262398464,0
BR,-3,pt,141,68967,1x3090,55,2,20204226506,1
AU,11,en,5,71,1x2080Ti,137,2,71770414386,1
FR,2,fr,4,54,6x3090,164,2,1.01311E+11,1
OM,4,en,154,2716,1x3090,16,2,1.25488E+11,1
BR,-3,pt,83,60,16,1,1,38615908352,1
VN,7,en,232,19,1x3090,85,1,27849129984,0
GB,0,en,0,70024,1x3090,50,1,1.04766E+11,0
DE,2,de,161,10134,16,165,2,32033795958,1
US,-5,en,33,2984,1x3090,56,4,1.08318E+11,1
PL,1,pl,9,1283,1x3090,41,7,4.32033E+11,1
IT,2,it,90,2380,1x3090,10,1,24132976640,0
VN,7,vi,11,32568,16,78,2,70527221760,0
BR,-4,en,189,33,16,41,1,28081913856,1
US,-6,en,99,19,cpuhub1,60,4,3.81964E+11,1
US,-8,en,112,487,1x3090,163,1,1.0998E+11,1
AE,4,en,6,494,6x3090,4,2,36108616752,1
IR,4,en,5,31,1x3090,12,1,33907802112,1
VN,7,vi,408,27,golden,63,5,93307367500,1
VN,7,vi,0,29,1x3090,377,1,1.10739E+11,1
GB,3,en,0,13,16,43,1,74603036672,0
VN,7,vi,0,52,1x3090,42,1,26234322944,1
US,-8,en,185,361403,22,1265,3,2.36519E+11,1
DE,3,en,1,20424,1x3090,95,1,11097079808,0
AU,10,en,22,91,6x3090,96,4,3.83238E+11,1
MA,1,fr,21,20,1x3090,106,1,1.02399E+11,1
VN,7,vi,NULL,70,1x2080Ti,27,2,28127002624,1
AU,11,en,2,200,1x3090,840,1,1.0425E+11,1
VN,7,vi,118,43,1x3090,93,2,70845383420,1
US,-4,en,197,1421,6x3080,58,4,3.73205E+11,1
VN,7,en,42,20,cpuhub1,341,1,37099849858,1
US,2,en,1,69,cpuhub1,252,1,28936503296,0
VN,7,en,0,50,1x3090,36,1,41570795520,0
KZ,6,en,0,1197,6x3090,267,2,38861646738,1
IT,2,it,0,74,1x3090,8,3,76813434880,0
RU,2,ru,1,128701,16,10,2,51360301056,0
BR,-3,pt,0,29,cpuhub1,3,2,55708745728,0
VN,7,vi,0,50,cpuhub1,300,1,55402561536,0
DE,1,de,82,73,6x3090,181,4,1.58751E+11,1
AU,10,en,7,8530,16,45,1,65763540992,1
AU,11,en,129,1184,22,47,4,1.31957E+11,1
DE,2,de,160,1093,cpuhub1,5,2,78022443008,0
JP,9,ja,206,3696,18,323,3,60737144953,1
US,-7,en,490,23,sliver,60,2,25218252800,1
US,-6,en,72,1555,1x3090,36,10,4.69826E+11,1
VN,7,vi,0,1098,1x3090,6,1,26062356480,0
ES,2,es,301,19,1x3090,11,6,5.8089E+11,1
IN,5,en,87,28,1x3090,179,1,2.08359E+11,1
US,-4,en,1,144,16,50,1,25074597888,0
VN,7,en,109,106,1x3090,30,2,56609078774,1
BE,1,en,0,41,6x2080ti,48,1,15090057216,0
RU,5,en,0,73559,16,68,2,62363009024,0
IT,2,it,0,32,1x3090,117,1,46807384064,1
BR,-3,pt,68,697,1x3090,64,2,85230354432,0
VN,7,en,514,156,NULL,18,5,1.35761E+11,1
VN,7,vi,13,77,16,2,3,1.3763E+11,1
US,-7,en,261,1458,1x3090,74,4,1.27563E+11,1
VN,7,en,394,1013,sliver,52,3,1.18526E+11,0
IN,5,en,140,1626,cpuhub1,155,2,2.39001E+11,1
TD,1,en,2,4353,1x3090,5,1,1.33949E+11,0
UA,3,en,188,153,1x3090,25,1,41668951614,1
US,-4,en,1,1334,1x3090,873,1,94603575296,1
BR,-3,pt,252,13185,1x3090,18,3,36738940752,1
US,-7,en,0,11572,1x3090,8,1,28771876864,1
VN,7,en,209,125,1x3090,560,1,58049685551,1
CA,-5,en,98,22,23,261,1,1.61485E+11,1
VN,7,vi,36,2449,1x3090,85,4,78650287988,1
NG,1,en,279,91,1x2080Ti,180,3,70010340506,1
GB,0,en,0,24,1x3090,3,1,4507828224,0
US,-4,en,6,42,1x3090,258,1,16287537188,1
FR,2,en,6,1202,23,162,1,49283072000,1
DE,2,de,41,16188,1x3090,9,2,1.08769E+11,1
GB,1,it,0,100,1x3090,49,1,28970975192,0
PK,5,en,0,34,1x3090,51,1,29094372692,0
VN,7,en,156,38,17,66,4,5.89753E+11,1
US,-6,en,0,27,cpuhub1,15,1,24968691712,0
IN,5,en,0,23303,16,59,2,38835056649,0
VN,7,en,19,13176,1x2080Ti,32,2,31561089024,1
RU,3,ru,0,27,1x2080Ti,100,1,49361715200,1
FR,2,fr,330,55,6x2080ti,697,3,82703383759,1
BR,-3,en,54,74,6x3090,66,1,1.4754E+11,1
VN,7,en,54,556,16,437,1,33678997946,1
DE,1,de,34,25,16,25,1,32727105536,1
PL,2,pl,0,2173,1x3090,9,3,1.40954E+11,1
ZA,2,en,530,29,golden,277,3,17620585921,1
VN,7,vi,0,405,1x3090,474,1,2.09922E+11,1
IN,5,en,351,38,golden,52,4,1.00395E+11,1
IT,1,it,0,40,1x3090,42,1,36510367744,1
RU,5,ru,0,36,1x3090,81,3,89279954944,0
ES,2,es,122,51,1x3090,56,1,70486883847,1
DE,1,de,15,23,22,45,1,1.43637E+11,1
US,-7,en,0,56,1x3090,182,1,50268311070,1
VN,7,en,24,461,6x3090,1440,3,1.78864E+11,1
VN,7,vi,82,16933,cpuhub1,31,2,1.55031E+11,1
IN,5,en,1,448,cpuhub1,66,1,28458352640,0
KR,9,ko,0,17,1x3090,79,1,24680333312,0
SE,1,sv,58,17,1x3090,3,3,28965001587,1
US,-5,en,390,1092,1x3090,10,2,2.01529E+11,1
TH,7,en,0,25,1x3090,21,1,37856739328,1
IN,5,en,145,70,1x3090,78,2,1.09121E+11,1
GI,2,en,44,12,1x3090,76,1,78038772739,1
IN,5,en,1,21,1x3090,33,5,1.34056E+11,1
US,-4,en,5,545,cpuhub1,30,4,1.2398E+11,1
IQ,3,en,21,44,6x3080,1,7,32022534638,1
RU,3,en,3,38,1x3090,71,1,77849427968,1
PT,0,en,2,61,1x3090,18,1,41166045184,0
NG,1,en,576,744,sliver,16,1,10479468544,1
CA,-4,en,8,43,23,42,1,45791313920,1
CA,-4,en,8,73,17,79,5,2.01735E+11,1
US,-8,en,138,27,1x3090,18,2,2.90728E+11,1
VN,7,en,210,1449,golden,1440,1,51806950936,1
SE,2,en,201,65,18,1440,3,1.08028E+11,1
VN,7,en,274,231,cpuhub1,189,8,5.51904E+11,1
AU,10,en,17,545,16,26,3,2.06591E+11,1
IN,5,en,57,31,cpuhub1,6846,3,1.21893E+11,1
CA,-4,en,3,62,1x3090,478,1,96656687104,1
US,-4,en,8,628,16,38,5,1.17399E+11,1
AR,-3,en,418,2243,1x3090,68,4,3.16088E+11,0
VN,7,en,1,585,1x3090,19,1,44970278912,1
VN,7,en,9,44,cpuhub1,14,1,30303846400,0
BR,-3,pt,197,77,6x3090,9,4,79430431525,1
VN,7,vi,1,51,cpuhub1,78,2,70070042624,1
HU,1,en,506,8861,1x3090,13,2,60557531890,1
VN,7,vi,86,183,cpuhub1,68,4,3.17728E+11,1
VN,7,vi,1,80,1x3090,100,2,1.20544E+11,1
VN,7,vi,8,30,1x3090,258,1,1.03544E+11,1
MX,-7,es,5,1117,1x3090,30,1,71998373888,0
US,-4,en,112,25,16,89,3,86039855104,1
KR,9,ko,53,5847,22,70,4,2.52204E+11,1
VN,7,vi,10,68,1x3090,68,1,50312426998,1
VN,7,vi,646,133,cpuhub1,36,1,38812668793,1
US,-7,en,4,273,1x3090,438,1,5055517387,1
CA,-4,en,0,61,22,61,1,42587914240,0
NL,2,nl,7,18489,6x2080ti,12,1,25032654848,0
VN,7,vi,220,1569,cpuhub1,148,11,64307908932,1
GR,2,en,423,17,1x2080Ti,5,3,73692091644,1
AT,1,de,22,87,1x3090,10,1,13113356271,1
VN,7,vi,0,413267,1x3090,158,2,63323504640,0
PT,0,pt,58,5,1x3090,4320,2,3.67671E+11,1
DE,1,en,105,12,1x3090,29,1,41625321472,1
IT,1,en,1,49,1x3090,18,2,9372172288,1
US,-4,en,27,3147,16,43,1,74982621184,1
US,-4,en,2,42,16,682,5,2.94992E+11,1
BR,-3,en,0,50,1x3090,24,1,30340546560,0
CN,8,zh,0,38,18,3,3,45397560475,1
VN,7,vi,1,513,1x3090,53,1,10075766784,0
CN,8,ko,140,31,1x2080Ti,7,2,77256723107,1
CA,-5,en,59,50,1x3090,4,1,30120345600,1
AU,10,en,0,32,16,15,2,53619982336,0
SG,8,en,3,242,6x3090,143,2,1.09354E+11,1
US,-6,en,0,78082,22,16,1,46648000512,0
AT,-4,en,2,148,16,5,7,1.48898E+11,1
TR,3,en,2,54,1x3090,1074,2,55960403968,1
PH,8,en,7,1445,1x3090,14,2,2.25112E+11,1
BR,-4,pt,17,727,1x3090,17,1,60675850240,0
US,-8,en,0,2892,22,21,1,14957576877,1
AU,10,zh,101,4606,1x3090,5058,2,87506091988,1
BR,-3,en,0,1262,1x3090,62,1,84017152000,0
IN,5,en,7,13,1x3090,24,1,18021875712,0
VN,7,vi,345,692,1x2080Ti,25,2,6867124224,1
VN,7,vi,NULL,39,1x2080Ti,428,1,46411022336,1
AR,-3,es,49,171,1x3090,80,1,61021880320,1
IN,5,en,0,13,1x3090,2,2,1.4472E+11,0
GB,0,en,0,34,1x2080Ti,180,1,4194304,0
ID,7,id,0,134237,1x3090,49,1,25043140608,0
VN,7,vi,36,40,cpuhub1,116,2,1.19404E+11,1
US,-4,en,0,57,cpuhub1,140,1,9278562203,1
HU,1,en,53,86,1x3090,16,2,1.01666E+11,1
VN,7,en,336,36,1x2080Ti,5,3,45748755755,1
VN,7,en,14,156,1x3090,37,1,4.3101E+11,1
IN,5,en,193,50111,1x3090,127,1,1.24404E+11,1
US,-8,en,82,1397,16,240,4,1.19116E+11,1
DK,2,en,2,4968,1x3090,5,1,24476909568,0
ID,7,en,0,53,cpuhub1,5,1,27216838656,0
US,-5,en,383,6913,sliver,238,4,35351820259,1
VN,7,vi,51,88,1x3090,31,1,98403614720,1
CA,-5,ru,0,336,1x3090,79,2,1.26127E+11,0
CZ,2,cs,1,301,cpuhub1,210,1,58120470528,0
VN,7,vi,0,33,1x3090,43,1,57366544384,0
VN,7,vi,210,35,1x3090,13,3,1.14281E+11,1
RO,2,en,0,1267,1x3090,72,2,76793511936,0
IN,5,en,0,113,1x3090,181,1,35857435748,1
VN,7,en,357,294,NULL,18,1,14185427539,1
VN,7,en,31,715,17,24,3,4.01848E+11,0
VN,7,en,0,907,1x3090,111,1,36967546880,0
CA,-7,en,0,3797,1x3090,84,1,36390830080,0
US,1,fr,0,45,1x2080Ti,24,1,8944353280,0
US,-5,en,7,35,cpuhub1,375,4,75127248332,1
US,-7,en,1,56,1x3090,127,2,1.59733E+11,1
GB,1,en,0,28,1x3090,46,2,50883487140,1
KR,9,ko,0,7194,1x3090,52,1,12101941528,0
IT,2,it,0,70,1x3090,3,1,10286142813,0
ZA,2,en,0,59,1x3090,1,1,29312942080,0
GH,0,en,34,107,16,64,3,64214522896,1
TW,8,zh,230,60930,6x2080ti,4,1,39056911368,1
BO,-4,en,147,69146,1x3090,39,2,94120181760,1
VN,7,en,111,52,cpuhub1,68,12,3.58339E+11,1
IN,5,en,119,1022,1x3090,448,1,37070307328,1
RO,2,en,64,70,1x3090,2,1,1.75747E+11,1
SG,8,en,0,1020,16,67,2,1.57718E+11,1
AU,11,en,87,163,22,128,2,3.85638E+11,1
CN,8,zh,408,365,1x3090,5,4,1.36614E+11,1
DE,2,de,0,83,16,45,1,40088109056,1
US,-4,en,0,41,18,30,1,25483542528,0
VN,7,vi,117,117,1x2080Ti,6,1,11583619072,0
GB,1,en,22,30,1x3090,71,4,1.45877E+11,1
CA,-5,en,16,375,22,95,1,91418001408,1
BR,-3,pt,2,48,1x3090,45,1,63953698816,0
ID,7,en,3,25,1x2080Ti,2,1,6129975296,0
US,-5,en,2,798,16,54,1,30645650315,1
DE,2,de,27,1381,1x3090,127,2,83004227584,1
VN,7,vi,430,39,1x3090,7,1,71197261824,1
MX,-5,es,119,60,1x3090,20,2,1.63335E+11,1
US,-7,en,1,63,22,47,1,50766807040,1
US,-4,en,93,95,16,2,2,21724072837,1
MA,-7,en,1,43,18,417,1,34864831173,1
US,-7,en,304,36,1x3090,43,9,2.80547E+11,1
BE,1,en,NULL,91,1x3080,81,2,23545774080,1
US,-5,en,36,54,22,30,1,1.06046E+11,1
VN,7,vi,3,35,1x3090,62,1,59138637824,1
US,-4,en,1,157,1x3090,91,1,66810019840,0
VN,7,en,0,1190,23,15,2,66319286272,0
VN,7,en,7,1722,1x3090,87,7,1.30933E+11,1
VN,7,en,3,52,1x3090,61,1,49653219328,0
VN,7,en,9,63,1x3090,16,2,2.24936E+11,1
IN,5,en,0,39,NULL,150,1,12842958848,0
AT,2,en,2,66,16,90,1,68953309184,1
IN,5,en,44,163651,22,31,4,5.03864E+11,1
ES,2,es,0,455,1x3090,46,1,56760467456,0
BE,1,fr,112,461111,6x3090,12,2,81874911232,1
MX,-6,en,3,5254,1x3090,32,3,1.17029E+11,1
IN,5,en,0,84,1x3090,115,1,55391027200,0
VN,7,vi,19,579,cpuhub1,6,2,34611511176,1
VN,7,vi,0,12198,1x3090,57,1,13320951332,0
VN,7,vi,0,692235,23,10,1,16010485890,0
LB,2,en,46,1444,1x2080Ti,81,2,19881928986,1
VN,7,vi,6,4335,cpuhub1,2,1,7874805760,0
IN,5,en,67,76,1x3090,5,12,6.40788E+11,1
VN,7,vi,24,11,1x3090,38,3,4.01848E+11,0
DK,2,en,1,64,1x3090,28,2,38136213409,1
AE,4,en,38,137,1x3090,99,3,1.42755E+11,1
US,-4,en,1,69,16,30,2,8254290860,1
GB,0,en,0,46,23,5,1,43706744832,0
AL,2,en,0,61,18,12,2,49410705203,1
US,-7,en,97,101,6x2080ti,463,1,1.02046E+11,1
LT,3,en,2,49,1x3090,11,2,39532413238,1
TR,2,tr,0,110,1x2080Ti,56,1,17307795456,0
BE,1,fr,131,83,6x3090,276,1,1392525538,1
BR,-3,pt,373,8884,1x2080Ti,34,6,1.61513E+11,1
ES,2,es,0,17,1x3090,2,1,23977787392,0
VN,7,vi,1,42,1x3090,23,1,38550896640,1
MC,1,en,38,26,1x3090,13,2,12050235392,1
VN,7,vi,1,46,cpuhub1,2457,1,15816085709,1
VN,7,vi,NULL,493,sliver,366,1,27927773184,1
VN,7,en,17,5692,1x3090,79,12,6.5913E+11,1
AR,-3,es,14,1456,22,8,1,45236617216,1
US,-7,en,31,83,23,25,2,1.95465E+11,1
FR,1,fr,0,36,1x3090,96,1,50456428544,1
PT,0,pt,0,28856,1x3090,78,1,31804358656,1
VN,7,en,1,65,1x3090,29,2,2.67899E+11,0
KR,9,ko,1,63,16,8,2,53435432960,0
US,-5,en,436,113848,1x3090,138,1,1.95089E+11,1
US,-7,en,1,65,cpuhub1,183,1,57230985364,0
RO,3,ro,80,35,1x3090,538,1,18720227328,1
PE,-5,en,6,41,18,13,1,37437219931,1
FR,1,fr,0,481,22,41,1,33287045120,0
RO,2,en,35,1142,1x3090,60,1,34852822825,1
AU,11,en,50,12354,1x3090,48,1,44735819324,1
VN,7,vi,275,256,1x3090,74,9,4.894E+11,1
EE,3,en,286,111,1x3090,33,1,20093636180,1
CA,-5,en,8,476,1x3090,13,1,16589520896,0
US,-7,en,44,878,1x3090,21,2,76889304086,1
GE,5,en,1,67,1x3090,107,1,25213009920,0
CA,-5,en,129,19,1x3090,30,13,1.13777E+11,1
NL,2,ko,13,194,6x3080,17,6,1.33142E+11,1
VN,7,en,28,34,1x3090,60,2,72595013632,0
IN,5,en,35,101,1x3090,23,1,50064261120,0
KR,9,ko,275,44,17,7,4,2.25576E+11,1
MX,-8,es,186,3021,1x3090,959,1,56922118813,1
VN,7,en,0,44,1x2080Ti,180,1,2445279232,0
VN,7,vi,294,494,1x3090,1681,1,9012664451,1
AU,10,en,0,25,6x3090,23,1,76289146880,1
VN,7,en,526,74,NULL,15,4,73373057024,1
VN,7,vi,265,27416,1x2080Ti,60,2,89373343282,1
QA,3,en,16,27,1x2080Ti,53,1,27070038016,1
DE,1,de,0,29,cpuhub1,7,1,3539992576,0
MX,-6,es,12,1352,6x3090,59,4,1.75055E+11,1
GB,0,en,2,8473,1x3090,120,1,30155242753,1
VN,7,en,0,1025,cpuhub1,63,1,21548236800,0
CA,-5,en,1,34,1x3090,94,1,1.25824E+11,1
US,-7,en,0,33,1x3090,17,2,58421380549,1
CA,-5,en,166,37,1x2080Ti,41,3,1.29644E+11,1
AE,4,en,226,84,1x3090,10,3,1.14875E+11,1
VN,7,en,699,3887,NULL,231,2,1.03389E+11,1
US,-7,en,0,193984,1x3090,111,1,27050115072,0
RO,3,en,46,150,1x3090,342,7,3.56808E+11,1
VN,7,vi,3,1891,cpuhub1,11,3,36950424269,1
GB,1,en,6,1205,22,92,1,14479035823,1
DE,1,de,376,49541,1x2080Ti,49,6,3.95451E+11,1
RO,2,en,32,134,1x3090,1524,2,31861279045,1
VN,7,vi,378,1773,1x3090,73,4,1.28694E+11,1
VN,7,en,4,464,1x3090,83,2,2.55208E+11,1
VN,7,vi,641,53,1x2080Ti,9,5,1.48663E+11,1
UA,3,ru,95,58,1x3090,42,2,1.45203E+11,1
VN,7,vi,2,63,cpuhub1,822,1,12795458142,1
LU,2,en,0,3036,1x3090,145,1,28569592388,1
VN,7,en,291,27,6x3090,62,6,3.80357E+11,1
VN,7,vi,47,4210,1x3090,1326,1,35091637127,1
AE,4,en,29,69,1x3090,96,1,53996421120,1
BR,-3,pt,0,811,cpuhub1,1,2,59903049728,0
CO,-5,en,106,42,1x3090,79,4,1.83607E+11,1
