region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
FR,2,fr,18,1489,1x3090,19,4,1.57829E+11,1
LT,3,lt,7,538,cpuhub1,61,1,68395243064,1
VN,7,vi,496,29,1x3090,240,6,4.38462E+11,1
VN,7,en,406,51,cpuhub1,39,1,26948403200,0
IN,5,en,22,21666,22,14,5,4.62749E+11,1
US,-6,en,194,71,1x3090,5,6,4.15572E+11,1
US,-4,en,27,5595,cpuhub1,1668,5,2.15749E+11,1
NG,1,en,0,1430,cpuhub1,167,2,57502859264,0
RU,3,ru,0,84,1x3090,120,2,81463869440,0
US,-5,en,5,287,16,28,2,44876674576,1
NZ,13,en,0,15,1x3090,95,1,66840428544,0
VN,7,vi,0,34,1x3090,95,1,17680039936,0
ZA,2,en,4,71,16,20,1,1.40898E+11,1
CA,-5,en,29,41,23,49,1,20419482687,1
VN,7,en,182,156347,cpuhub1,64,4,1.84675E+11,1
UA,3,uk,0,30,1x3090,29,1,85613084672,0
VN,7,vi,13,32,1x3090,79,1,25168943010,1
US,-8,en,169,61,1x3090,187,1,85619376128,1
US,-4,en,0,11,6x3090,9,3,2.75275E+11,1
VN,7,en,168,43,16,937,1,1.0961E+11,1
RU,7,en,199,24529,1x3090,1,1,33414971392,0
IT,2,it,16,1485,1x3090,20,1,29708659624,1
AT,1,en,0,20,1x3090,58,1,2251085328,1
EG,2,en,1,819,16,59,2,2.32954E+11,1
US,-4,en,0,9901,16,84,1,25911361536,0
FR,1,en,2,140,1x3090,7,1,30489444352,0
SE,1,sv,108,62,22,28,2,80922804224,1
RU,3,en,60,101,16,167,1,52744705281,1
VN,7,vi,525,41,1x2080Ti,25,8,7.20647E+11,1
VN,7,vi,65,115,cpuhub1,175,1,32302804697,1
LB,2,en,13,1737,1x3090,1066,1,32194717027,1
RU,3,ru,16,7153,16,538,1,39521878016,1
UA,2,en,12,93,1x3090,71,1,22516095033,1
CH,1,de,62,265,1x3090,74,2,92746547200,1
US,-4,en,0,15,6x3090,8,2,5.37219E+11,1
GB,1,en,0,35,1x3090,121,1,25261244416,0
ES,1,es,442,88,golden,80,3,94107102113,1
IN,5,en,1,78,1x3090,83,1,54212427776,0
US,-7,en,0,21,1x3090,5,3,75473354752,0
BR,-3,pt,22,39909,6x3090,1440,4,3.26099E+11,1
TR,3,tr,0,39,1x3090,30,2,85018542080,0
VN,7,vi,12,27051,1x3090,7,4,2.20341E+11,1
CA,-4,en,10,1462,1x3090,35,1,46786412544,1
KR,9,ko,109,65,16,53,2,69034639424,1
BR,-3,pt,1,21,1x3090,34,1,45364543488,0
BR,-4,pt,0,10125,1x3090,25,1,51513393152,0
VN,7,vi,119,2844,1x3090,78,2,54542729216,0
DE,2,de,11,22,1x3090,73,1,83465601024,1
NL,2,nl,73,798,6x3090,230,5,1.8182E+11,1
ZA,2,en,168,1361,cpuhub1,43200,3,3.47427E+11,1
PT,1,pt,58,73,1x3090,2,2,4.51206E+11,1
NO,1,en,NULL,29,1x3090,88,2,9437184,1
CL,-3,es,0,15,cpuhub1,70,1,10756292608,1
VN,7,en,93,28,1x3090,62,6,3.30122E+11,1
GB,0,en,2,27,16,21,1,28392292352,1
US,-6,en,0,84,1x3090,111,3,98090090496,0
US,-5,en,2,311837,16,76,2,39163696937,1
EG,2,en,92,10200,1x3080,41,4,1.23318E+11,1
VN,7,vi,472,169,1x3090,149,7,2.85513E+11,1
VN,7,vi,4,175,1x3090,22,10,3.33436E+11,1
NL,1,en,2,13,1x3090,32,1,15782117376,0
US,-5,en,0,774,23,3,1,44761612288,0
VN,7,vi,364,5351,1x3090,43200,8,7.76821E+11,1
VN,7,vi,79,30,cpuhub1,89,1,22158508032,1
MY,8,en,0,51,golden,7,1,6457131008,0
KR,9,ko,60,179,6x3080,7,16,94049170334,1
LT,-5,en,1,59,1x2080Ti,26,1,21007171584,1
GB,0,en,14,28,6x3080,69,2,31026050340,1
EG,3,en,0,35,1x3090,40,1,60367568896,1
VN,7,vi,86,11279,1x3090,423,1,22605006381,1
DE,2,en,17,4308,6x3080,69,4,1.02609E+11,1
KR,9,ko,352,561,1x3090,1503,4,2.39026E+11,1
CN,8,zh,188,79,16,7,3,1.03632E+11,1
US,-7,en,41,22,1x3090,101,1,20073725993,1
US,-4,en,39,4427,16,16,2,1.21492E+11,1
VN,7,en,4,45,1x3090,11,1,99500425216,0
IN,5,en,130,2048,1x3090,49,2,1.73778E+11,1
CO,-5,es,14,24,1x3090,49,2,1.32534E+11,1
VN,7,en,434,148,1x3090,41,3,2.83904E+11,1
US,-7,en,1,52,22,268,2,1.63043E+11,1
VN,7,vi,621,347,cpuhub1,39,4,2.57121E+11,1
VN,7,vi,92,151,1x3090,104,1,30971407586,1
BR,-3,pt,7,1484,1x3090,35,2,74130128896,0
US,-5,en,0,44,1x3090,8,1,3319192923,1
CR,-6,en,1,143,1x2080Ti,180,1,2906652672,0
FR,2,fr,25,7785,1x3090,12,4,3.70363E+11,1
VN,7,vi,4,83,1x2080Ti,40,1,50874810368,1
VN,7,en,47,238,1x3090,44,3,3.01584E+11,1
VN,7,vi,3,1425,1x3090,14,3,65197312012,1
DE,1,de,3,48,1x3090,56,1,12437092874,1
VN,7,vi,21,3835,1x3090,108,7,1.90717E+11,1
US,-4,en,1,28,6x3090,3,2,59359887360,1
US,2,en,482,64,1x3090,19,3,1.2406E+11,1
AU,11,en,125,43,6x3090,34,5,2.73073E+11,1
IT,1,it,0,3005,1x3090,95,1,56618909696,0
VN,7,en,265,3869,NULL,2,1,20063453184,1
NL,2,nl,222,4449,16,20,2,86081798144,1
IN,5,en,5,1327,cpuhub1,20,1,24633147392,0
UA,2,uk,1,906,cpuhub1,545,2,1.19421E+11,1
VN,7,vi,65,48902,cpuhub1,36,1,74528587776,1
GB,1,en,0,1539,16,4,2,35417003066,1
AE,4,en,80,1268,1x2080Ti,23,2,45415800511,1
UA,3,ru,0,69,1x3090,127,2,87657955090,0
US,-4,en,15,355,1x3090,127,2,6.87881E+11,1
EC,-5,es,6,152541,16,53,1,14083008124,1
IN,5,en,2,8343,1x3090,1,4,89803850513,1
US,-4,en,14,50458,6x3080,962,1,34409021440,0
US,-4,en,18,108,1x3090,105,2,63113800159,1
IN,5,en,4,64,cpuhub1,361,2,37633801529,1
VN,7,en,60,785,1x2080Ti,110,1,2668371515,1
JP,9,ja,3,172,6x3080,6,1,666116850,1
MA,1,fr,20,73291,1x2080Ti,17,2,10123436487,1
US,-6,en,0,12840,1x2080Ti,180,1,11756634112,0
CO,-5,en,329,1037,1x2080Ti,18,2,77015691861,1
IT,1,it,1,56,cpuhub1,12,1,9225371648,0
DE,1,de,123,41,1x3090,20,2,2.24578E+11,1
NG,1,en,51,801,1x3090,607,2,1.33918E+11,1
HK,8,en,2,190,1x2080Ti,12,1,2854223872,0
IN,5,en,67,295,16,39,2,1.02924E+11,1
CH,2,fr,1,11,18,117,1,16715255812,1
KR,9,ko,7,64,18,454,3,60133174131,1
VN,7,en,567,1705,NULL,62,1,25213009920,1
ID,7,en,0,23,1x2080Ti,180,1,9464446976,0
US,-4,en,13,19,1x3090,290,3,1.62295E+11,1
IN,5,en,1,107,1x3090,31,1,42407559168,0
RU,3,ru,2,43,1x3090,123,1,57995689984,0
FR,2,fr,4,275,6x3090,93,2,38194936171,1
