region,timezone,language,lasttime,created_bill,package,hours_use,sum_length,is_paid
RO,3,en,0,0.266666667,1x3090,0.3,7.346323456,0
NL,2,nl,21,0.716666667,1x3090,5.883333333,61.4245335,1
BG,7,vi,0,0.633333333,cpuhub1,2.433333333,2.246049792,0
MY,8,en,27,48.88333333,1x3090,1.016666667,39.5572705,1
GR,2,el,113,17.31666667,16,1.3,129.154,1
US,-7,en,5,9.35,6x2080ti,0.2,16.08132475,1
US,-8,en,0,1926.1,23,1.8,41.47956941,1
FR,2,fr,18,24.81666667,1x3090,0.316666667,157.829,1
LT,3,lt,7,8.966666667,cpuhub1,1.016666667,68.39524306,1
VN,7,vi,496,0.483333333,1x3090,4,438.462,1
VN,7,en,406,0.85,cpuhub1,0.65,26.9484032,0
IN,5,en,22,361.1,22,0.233333333,462.749,1
US,-6,en,194,1.183333333,1x3090,0.083333333,415.572,1
US,-4,en,27,93.25,cpuhub1,27.8,215.749,1
NG,1,en,0,23.83333333,cpuhub1,2.783333333,57.50285926,0
RU,3,ru,0,1.4,1x3090,2,81.46386944,0
US,-5,en,5,4.783333333,16,0.466666667,44.87667458,1
NZ,13,en,0,0.25,1x3090,1.583333333,66.84042854,0
VN,7,vi,0,0.566666667,1x3090,1.583333333,17.68003994,0
ZA,2,en,4,1.183333333,16,0.333333333,140.898,1
CA,-5,en,29,0.683333333,23,0.816666667,20.41948269,1
VN,7,en,182,2605.783333,cpuhub1,1.066666667,184.675,1
UA,3,uk,0,0.5,1x3090,0.483333333,85.61308467,0
VN,7,vi,13,0.533333333,1x3090,1.316666667,25.16894301,1
US,-8,en,169,1.016666667,1x3090,3.116666667,85.61937613,1
US,-4,en,0,0.183333333,6x3090,0.15,275.275,1
VN,7,en,168,0.716666667,16,15.61666667,109.61,1
RU,7,en,199,408.8166667,1x3090,0.016666667,33.41497139,0
IT,2,it,16,24.75,1x3090,0.333333333,29.70865962,1
AT,1,en,0,0.333333333,1x3090,0.966666667,2.251085328,1
EG,2,en,1,13.65,16,0.983333333,232.954,1
US,-4,en,0,165.0166667,16,1.4,25.91136154,0
FR,1,en,2,2.333333333,1x3090,0.116666667,30.48944435,0
SE,1,sv,108,1.033333333,22,0.466666667,80.92280422,1
RU,3,en,60,1.683333333,16,2.783333333,52.74470528,1
VN,7,vi,525,0.683333333,1x2080Ti,0.416666667,720.647,1
VN,7,vi,65,1.916666667,cpuhub1,2.916666667,32.3028047,1
LB,2,en,13,28.95,1x3090,17.76666667,32.19471703,1
RU,3,ru,16,119.2166667,16,8.966666667,39.52187802,1
UA,2,en,12,1.55,1x3090,1.183333333,22.51609503,1
CH,1,de,62,4.416666667,1x3090,1.233333333,92.7465472,1
US,-4,en,0,0.25,6x3090,0.133333333,537.219,1
GB,1,en,0,0.583333333,1x3090,2.016666667,25.26124442,0
ES,1,es,442,1.466666667,golden,1.333333333,94.10710211,1
IN,5,en,1,1.3,1x3090,1.383333333,54.21242778,0
US,-7,en,0,0.35,1x3090,0.083333333,75.47335475,0
BR,-3,pt,22,665.15,6x3090,24,326.099,1
TR,3,tr,0,0.65,1x3090,0.5,85.01854208,0
VN,7,vi,12,450.85,1x3090,0.116666667,220.341,1
CA,-4,en,10,24.36666667,1x3090,0.583333333,46.78641254,1
KR,9,ko,109,1.083333333,16,0.883333333,69.03463942,1
BR,-3,pt,1,0.35,1x3090,0.566666667,45.36454349,0
BR,-4,pt,0,168.75,1x3090,0.416666667,51.51339315,0
VN,7,vi,119,47.4,1x3090,1.3,54.54272922,0
DE,2,de,11,0.366666667,1x3090,1.216666667,83.46560102,1
NL,2,nl,73,13.3,6x3090,3.833333333,181.82,1
ZA,2,en,168,22.68333333,cpuhub1,720,347.427,1
PT,1,pt,58,1.216666667,1x3090,0.033333333,451.206,1
CL,-3,es,0,0.25,cpuhub1,1.166666667,10.75629261,1
VN,7,en,93,0.466666667,1x3090,1.033333333,330.122,1
GB,0,en,2,0.45,16,0.35,28.39229235,1
US,-6,en,0,1.4,1x3090,1.85,98.0900905,0
US,-5,en,2,5197.283333,16,1.266666667,39.16369694,1
EG,2,en,92,170,1x3080,0.683333333,123.318,1
VN,7,vi,472,2.816666667,1x3090,2.483333333,285.513,1
VN,7,vi,4,2.916666667,1x3090,0.366666667,333.436,1
NL,1,en,2,0.216666667,1x3090,0.533333333,15.78211738,0
US,-5,en,0,12.9,23,0.05,44.76161229,0
VN,7,vi,364,89.18333333,1x3090,720,776.821,1
VN,7,vi,79,0.5,cpuhub1,1.483333333,22.15850803,1
MY,8,en,0,0.85,golden,0.116666667,6.457131008,0
KR,9,ko,60,2.983333333,6x3080,0.116666667,94.04917033,1
LT,-5,en,1,0.983333333,1x2080Ti,0.433333333,21.00717158,1
GB,0,en,14,0.466666667,6x3080,1.15,31.02605034,1
EG,3,en,0,0.583333333,1x3090,0.666666667,60.3675689,1
VN,7,vi,86,187.9833333,1x3090,7.05,22.60500638,1
DE,2,en,17,71.8,6x3080,1.15,102.609,1
KR,9,ko,352,9.35,1x3090,25.05,239.026,1
CN,8,zh,188,1.316666667,16,0.116666667,103.632,1
US,-7,en,41,0.366666667,1x3090,1.683333333,20.07372599,1
US,-4,en,39,73.78333333,16,0.266666667,121.492,1
VN,7,en,4,0.75,1x3090,0.183333333,99.50042522,0
IN,5,en,130,34.13333333,1x3090,0.816666667,173.778,1
CO,-5,es,14,0.4,1x3090,0.816666667,132.534,1
VN,7,en,434,2.466666667,1x3090,0.683333333,283.904,1
US,-7,en,1,0.866666667,22,4.466666667,163.043,1
VN,7,vi,621,5.783333333,cpuhub1,0.65,257.121,1
VN,7,vi,92,2.516666667,1x3090,1.733333333,30.97140759,1
BR,-3,pt,7,24.73333333,1x3090,0.583333333,74.1301289,0
US,-5,en,0,0.733333333,1x3090,0.133333333,3.319192923,1
CR,-6,en,1,2.383333333,1x2080Ti,3,2.906652672,0
FR,2,fr,25,129.75,1x3090,0.2,370.363,1
VN,7,vi,4,1.383333333,1x2080Ti,0.666666667,50.87481037,1
VN,7,en,47,3.966666667,1x3090,0.733333333,301.584,1
VN,7,vi,3,23.75,1x3090,0.233333333,65.19731201,1
DE,1,de,3,0.8,1x3090,0.933333333,12.43709287,1
VN,7,vi,21,63.91666667,1x3090,1.8,190.717,1
US,-4,en,1,0.466666667,6x3090,0.05,59.35988736,1
US,2,en,482,1.066666667,1x3090,0.316666667,124.06,1
AU,11,en,125,0.716666667,6x3090,0.566666667,273.073,1
IT,1,it,0,50.08333333,1x3090,1.583333333,56.6189097,0
NL,2,nl,222,74.15,16,0.333333333,86.08179814,1
IN,5,en,5,22.11666667,cpuhub1,0.333333333,24.63314739,0
UA,2,uk,1,15.1,cpuhub1,9.083333333,119.421,1
VN,7,vi,65,815.0333333,cpuhub1,0.6,74.52858778,1
GB,1,en,0,25.65,16,0.066666667,35.41700307,1
AE,4,en,80,21.13333333,1x2080Ti,0.383333333,45.41580051,1
UA,3,ru,0,1.15,1x3090,2.116666667,87.65795509,0
US,-4,en,15,5.916666667,1x3090,2.116666667,687.881,1
EC,-5,es,6,2542.35,16,0.883333333,14.08300812,1
IN,5,en,2,139.05,1x3090,0.016666667,89.80385051,1
US,-4,en,14,840.9666667,6x3080,16.03333333,34.40902144,0
US,-4,en,18,1.8,1x3090,1.75,63.11380016,1
IN,5,en,4,1.066666667,cpuhub1,6.016666667,37.63380153,1
VN,7,en,60,13.08333333,1x2080Ti,1.833333333,2.668371515,1
JP,9,ja,3,2.866666667,6x3080,0.1,0.66611685,1
MA,1,fr,20,1221.516667,1x2080Ti,0.283333333,10.12343649,1
US,-6,en,0,214,1x2080Ti,3,11.75663411,0
CO,-5,en,329,17.28333333,1x2080Ti,0.3,77.01569186,1
IT,1,it,1,0.933333333,cpuhub1,0.2,9.225371648,0
DE,1,de,123,0.683333333,1x3090,0.333333333,224.578,1
NG,1,en,51,13.35,1x3090,10.11666667,133.918,1
HK,8,en,2,3.166666667,1x2080Ti,0.2,2.854223872,0
IN,5,en,67,4.916666667,16,0.65,102.924,1
CH,2,fr,1,0.183333333,18,1.95,16.71525581,1
KR,9,ko,7,1.066666667,18,7.566666667,60.13317413,1
ID,7,en,0,0.383333333,1x2080Ti,3,9.464446976,0
US,-4,en,13,0.316666667,1x3090,4.833333333,162.295,1
IN,5,en,1,1.783333333,1x3090,0.516666667,42.40755917,0
RU,3,ru,2,0.716666667,1x3090,2.05,57.99568998,0
